,E_10_Korea419,E_11_B1(UDC16-1),E_12_B1(UDC16-1),E_13,E_14,E_1_3774T13,E_2_3774T13,E_3_3774T13,E_4_DS-166,E_5_DS-166,E_6_9343_bte1,E_7_9343_bte2,E_8_J38-1,E_9_Korea419,I_10_Korea419_,I_11_B1(UDC16-1),I_12_B1(UDC16-1),I_13,I_14,I_1_3774T13,I_2_3774T13,I_3_3774T13,I_4_DS-166,I_5_DS-166,I_6_9343__bti1,I_7a_9343__bti2a,I_7b_9343_bti2b,I_8_J38-1,I_9_Korea419
SRS011061,0,0,0,0,0,8,5,7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,15,31,7,0,0
SRS011134,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,138,0,0,0,1,0,0,3,0,1,0,0
SRS011239,0,0,0,0,0,0,0,0,22,70,0,0,0,0,0,0,0,2,0,0,0,0,8,20,0,0,0,1,0
SRS011271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS011302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,4,0,0
SRS011405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0
SRS011452,0,0,0,3,0,0,0,0,0,0,14,40,0,0,0,0,0,263,0,0,0,0,0,93,9,14,14,0,0
SRS011529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,203,248,64,0,0
SRS011586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS012273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS012902,0,0,0,0,0,357,354,405,0,0,0,0,0,0,0,71,0,0,0,94,139,87,0,0,215,325,76,0,0
SRS013158,0,142,146,0,0,0,0,0,0,0,59,0,0,0,0,36,25,0,0,0,0,0,0,0,47,0,0,0,0
SRS013215,0,0,1,0,0,367,308,402,0,0,0,0,0,0,0,56,0,0,0,99,122,77,0,0,208,314,82,0,0
SRS013476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SRS013521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS013687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0
SRS013800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,30,10,0,0
SRS013951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRS014235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
SRS014287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS014313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS014459,0,118,149,0,0,38,0,0,0,0,0,0,0,0,0,67,42,0,0,7,0,0,0,0,92,117,30,0,0
SRS014613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS014683,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,19,20,7,0,0
SRS014923,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
SRS014979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
SRS015065,0,54,77,0,0,16,0,0,0,0,0,0,0,0,0,30,26,0,0,0,0,0,0,0,38,41,18,0,0
SRS015133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS015190,0,0,0,0,276,0,0,0,0,0,155,0,418,0,0,0,0,0,124,0,0,0,0,0,187,0,0,182,0
SRS015217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS015264,0,0,0,0,97,0,0,0,0,0,58,0,147,0,0,0,0,0,36,0,0,0,0,0,40,0,0,54,0
SRS015369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,443,484,143,0,0
SRS015578,0,0,0,0,247,145,0,0,0,0,0,0,332,0,0,27,0,0,128,67,0,0,0,0,109,110,34,130,0
SRS015663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS015782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,13,0,0,21,0,0,45,0,0,0,0
SRS015794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS015854,0,0,0,0,74,0,0,0,0,0,41,0,131,0,0,0,0,0,41,0,0,0,0,0,53,0,0,38,0
SRS015960,0,0,0,0,0,115,162,167,0,0,0,0,0,0,0,23,0,0,0,48,63,52,0,1,113,117,35,0,114
SRS016018,0,19,34,0,0,0,0,0,0,0,16,0,0,0,0,8,10,0,0,0,0,0,0,0,18,0,0,0,0
SRS016056,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,64,72,13,0,0
SRS016095,0,0,0,0,153,0,0,0,0,0,73,0,192,0,0,0,0,0,77,0,0,0,0,0,68,0,0,69,0
SRS016203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS016267,0,0,0,0,0,1876,0,0,0,5739,0,0,0,0,0,0,0,0,0,589,0,0,0,1924,0,0,0,0,0
SRS016335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,373,0,0,0,0
SRS016495,0,0,0,186,0,52,0,0,0,0,0,0,0,0,0,0,0,41,0,16,0,0,0,0,0,0,0,0,0
SRS016517,0,0,0,130,0,29,0,0,0,0,0,0,0,0,0,0,0,28,0,14,0,0,0,0,0,0,0,0,0
SRS016585,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRS016753,23,0,0,0,0,42,0,0,0,0,0,0,0,74,24,0,0,0,0,3,0,0,0,0,0,0,0,0,26
SRS016954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS016989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS017103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,7,1,0
SRS017191,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
SRS017247,0,0,0,0,47,0,0,0,0,0,19,0,49,0,0,0,0,0,19,33,0,0,0,0,970,1108,239,22,0
SRS017307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0
SRS017433,0,0,0,0,0,0,0,0,45,0,0,189,0,0,0,0,0,0,0,0,0,0,13,0,73,71,51,0,0
SRS017521,0,0,0,0,833,0,0,0,0,0,429,0,1245,0,0,0,0,0,421,0,0,0,0,0,359,0,0,530,0
SRS017701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
SRS017821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS018133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS018313,0,0,0,490,0,365,0,0,0,0,0,0,0,0,0,0,0,104,281,124,0,0,34,21,0,0,0,121,0
SRS018351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,2223,2172,554,0,0
SRS018427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS018575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,40,0,0,0,0,1365,1651,445,0,0
SRS018656,0,0,0,0,125,0,0,0,0,0,63,0,175,0,0,0,0,0,54,0,0,0,0,0,69,0,0,63,0
SRS018817,0,0,0,0,0,0,0,0,513,1712,0,0,0,0,0,0,0,0,0,0,0,0,171,612,0,0,0,0,0
SRS019030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,22,4,1,0
SRS019161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
SRS019267,0,0,0,301,0,227,0,0,0,0,0,0,0,0,0,0,0,49,121,86,0,0,13,10,0,0,0,74,0
SRS019397,0,0,0,829,0,89,0,0,0,0,0,0,0,0,0,0,0,302,0,82,0,0,0,7,105,102,32,0,0
SRS019582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0
SRS019601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS019685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
SRS019787,0,0,0,0,0,209,0,0,0,713,0,0,0,0,0,0,0,0,0,84,0,0,0,238,0,0,0,0,0
SRS019910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,0,0
SRS019968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
SRS020233,0,0,0,0,27,0,0,0,0,0,10,0,48,0,0,0,0,0,14,0,0,0,0,0,65,0,0,14,0
SRS020328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
SRS020869,0,0,0,1,0,0,0,0,0,206,44,0,0,0,0,2,0,72,0,0,0,0,0,82,41,0,0,0,0
SRS021484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS021948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0
SRS022071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS022137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS022524,0,0,0,0,0,0,0,0,21,88,0,0,0,0,0,0,0,0,0,0,0,0,9,21,18,25,9,0,0
SRS022609,0,0,0,1,3,0,0,0,0,0,2,0,2,0,0,0,0,143,0,0,0,0,0,0,0,0,0,1,0
SRS022713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,190,224,62,0,0
SRS023346,0,0,0,416,0,36,0,0,0,0,0,0,0,0,0,0,0,111,0,27,0,0,0,0,0,0,0,0,0
SRS023526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS023583,0,0,0,2,0,35,0,0,0,107,0,0,0,0,0,26,0,48,0,14,0,12,0,29,275,371,127,0,0
SRS023829,0,0,3,0,0,640,660,909,0,0,0,0,0,0,0,123,0,0,0,167,327,174,0,4,410,648,173,0,0
SRS023914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRS023971,0,111,142,0,0,0,0,0,0,0,57,0,0,0,0,40,28,0,0,0,0,0,0,0,41,0,0,0,0
SRS024009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,4,0,0
SRS024075,0,0,0,0,405,0,0,0,0,0,231,0,622,0,0,0,0,0,201,37,0,0,0,1,1240,1186,301,256,0
SRS024132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
SRS024265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,5,0,0,0
SRS024331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,102,26,0,0
SRS024388,0,0,0,0,0,0,0,0,142,0,0,522,0,0,0,0,0,0,0,0,0,0,45,0,0,166,156,0,0
SRS024435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,3,0,0
SRS024549,0,0,1,0,0,1568,1910,2247,0,0,0,0,0,0,0,321,0,0,0,617,720,473,0,6,1315,1600,453,0,0
SRS024625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SRS042284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS042628,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,3,5,0,1,0,0,0,0,0,3,0,0,0,0
SRS043001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS043411,0,0,0,0,173,0,0,0,0,0,82,0,246,0,0,0,0,0,83,0,0,0,0,0,101,0,0,106,0
SRS043701,0,0,0,171,0,154,0,0,0,0,0,0,0,0,0,0,0,31,0,26,0,0,0,0,0,0,0,0,0
SRS045004,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,26,16,3,1,0
SRS045645,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,251,253,71,5,0
SRS045713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,619,0,0,0,0
SRS047014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,108,0,0,0,0
SRS047044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,9,0,0,0,0
SRS048164,0,0,0,0,0,0,0,0,0,32,9,0,0,0,0,10,0,0,0,0,0,3,0,17,24,0,0,0,0
SRS048870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,391,421,120,0,0
SRS049164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,76,0,1,0,0
SRS049712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS049900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS049959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS049995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS050299,0,0,0,0,102,0,0,0,0,0,49,0,161,0,0,0,0,0,57,0,0,0,0,0,46,0,0,65,0
SRS050422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS050752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,21,0,0,0,0,0
SRS050925,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0
SRS051031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS051882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS052027,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SRS052697,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRS053214,0,0,0,258,0,88,0,0,0,0,0,0,0,0,0,0,0,65,0,38,0,0,0,0,0,0,0,0,0
SRS053335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS053398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS054590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS054956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,2848,3115,807,0,0
SRS055982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS056259,0,0,0,0,0,247,321,372,0,0,0,0,0,0,0,51,0,0,0,113,167,131,0,0,242,266,97,1,102
SRS056519,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,67,0,1,0,0,1907,2188,631,0,0
SRS057478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,97,126,43,0,0
SRS057717,0,0,0,1115,0,132,0,0,0,0,0,0,0,0,0,0,0,314,0,115,0,0,0,0,0,0,0,0,0
SRS058723,0,0,0,2,0,79,0,0,0,253,0,0,0,0,0,52,0,112,0,29,0,27,0,84,0,0,0,0,0
SRS058770,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS062427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS063040,0,0,0,0,0,0,0,0,92,343,0,0,0,0,0,0,0,0,0,10,0,0,22,118,345,381,140,0,0
SRS063985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS064276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS064557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,744,875,291,0,0
SRS064645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS065504,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,111,0,0,0,71
SRS075398,0,0,0,8,0,212,0,1,0,678,0,0,0,0,0,122,0,232,0,60,0,58,0,235,0,1,0,0,0
SRS077730,0,0,0,623,0,215,0,0,0,0,0,0,0,0,0,0,0,166,0,71,0,0,0,0,0,0,0,0,0
SRS078176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS011084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS012849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0
SRS012969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SRS013098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS013638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS013639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS015431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15
SRS015890,0,588,924,0,0,0,0,0,0,0,368,0,0,0,0,278,328,0,0,0,0,0,0,0,497,0,0,0,0
SRS016437,0,0,0,0,20,0,0,0,0,0,15,0,31,0,0,0,0,0,14,0,0,0,0,0,34,0,0,14,0
SRS016438,0,0,0,0,21,0,0,0,0,0,18,0,36,0,1,0,0,0,19,0,0,0,0,0,39,0,0,17,0
SRS017916,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,3,1,2,0
SRS018984,0,1693,2517,0,0,0,0,0,0,0,1106,0,0,0,0,711,830,0,0,0,0,0,0,0,1290,0,0,0,0
SRS019068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
SRS019381,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,13,0,0,0,0,2,4,0,0,0,181
SRS020622,0,0,0,0,0,19,0,0,0,66,0,0,0,0,0,11,0,26,0,4,0,5,0,15,0,0,0,0,0
SRS021153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0
SRS021219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
SRS024663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS043667,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SRS045528,0,0,0,278,0,115,0,0,0,0,0,0,0,0,0,0,0,103,0,16,0,0,0,0,0,0,0,0,0
SRS045739,20,0,0,0,0,18,0,0,0,0,0,0,0,42,20,0,0,0,0,5,0,0,0,0,0,1,0,1,12
SRS049402,0,0,0,0,595,0,0,0,0,0,327,0,967,0,0,0,0,0,319,0,0,0,0,0,251,0,0,415,0
SRS049896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,95,166,37,0,0
SRS050026,0,0,0,0,0,0,0,0,23,0,0,41,0,0,0,0,0,0,0,0,0,0,3,0,26,15,12,0,0
SRS053356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRS053573,0,0,0,489,0,542,0,0,0,0,0,0,0,0,0,0,0,122,347,110,0,0,26,24,0,0,0,128,0
